Time,SVID,S4_index,Dlat_IPP,Dlong_IPP,VTEC
2025-09-18 04:46:00,8,0.04,10.662880646993798,36.52283304850865,7.414138956261766
2025-09-18 04:46:00,16,,4.010030641129913,35.60669055077247,11.741169595387785
2025-09-18 04:46:00,27,0.01,8.82355169277927,38.03686272000842,14.052956880293305
2025-09-18 04:46:00,28,0.04,6.490197997314333,42.669847209835204,18.58580970289866
2025-09-18 04:46:00,31,0.0,3.8756875263738264,40.69537149682009,18.310463029073848
2025-09-18 04:46:00,32,,11.214966104394245,40.23924390522636,13.019056396246084
2025-09-18 04:46:00,38,0.02,10.793944189917575,38.026484366693815,
2025-09-18 04:46:00,39,0.02,7.742534195853891,36.41275581613161,39.54182012390318
2025-09-18 04:46:00,59,0.08,6.104025854824801,43.768305543433584,32.71456574680949
2025-09-18 04:46:00,60,0.01,9.735181975151125,41.02675219586378,
2025-09-18 04:46:00,61,0.24,14.39191825826666,37.82957275602363,36.324940190407474
2025-09-18 04:46:00,77,0.03,9.92133673493897,39.84622690723963,18.4407745476986
2025-09-18 04:46:00,83,0.04,11.199780101356634,41.85173190066859,19.423666891940243
2025-09-18 04:46:00,91,,4.813211456649591,35.55290931862961,15.906884477025063
2025-09-18 04:46:00,96,0.05,13.689755870736752,37.95954148312206,15.013095248342585
2025-09-18 04:46:00,99,,7.141945676890396,37.94862867128795,16.767324385798283
2025-09-18 04:46:00,121,0.07,8.538268313396813,35.24704480228678,-736.0541631598936
2025-09-18 04:46:00,123,0.04,8.538742925095061,37.791813976847905,-203.53483797289152
2025-09-18 04:46:00,127,0.06,8.608883616119646,39.826150640364624,-145.4184391393074
2025-09-18 04:46:00,128,0.04,8.518371583664623,42.452509173008046,-142.0543877847896
2025-09-18 04:46:00,129,0.05,8.491646358603331,43.624671286344864,
2025-09-18 04:46:00,134,,8.468194743385872,43.79882713431948,
2025-09-18 04:46:00,136,0.06,8.529610023995538,36.284739621160284,-151.4157371693092
