Time,SVID,S4_index,Dlat_IPP,Dlong_IPP,VTEC
2025-09-18 06:16:00,1,0.13,14.652117475007485,35.86850628634526,19.042838205232066
2025-09-18 06:16:00,2,0.03,11.432182684369105,38.286470594532794,22.45450709547403
2025-09-18 06:16:00,4,,7.143492480142035,35.51509924690274,21.023865204426357
2025-09-18 06:16:00,8,,7.660289660928159,36.78413361707315,22.764990967800067
2025-09-18 06:16:00,27,,5.703677266055735,38.36994894449727,26.172354998062428
2025-09-18 06:16:00,28,0.06,10.40860596577494,42.688155924057895,27.325343293362995
2025-09-18 06:16:00,31,0.05,8.109101444800622,41.15414317190818,25.859565733343647
2025-09-18 06:16:00,39,0.03,11.448849275810577,36.710519761622834,45.76821486760573
2025-09-18 06:16:00,40,0.05,7.344389665341496,32.74722279173107,35.3305881033172
2025-09-18 06:16:00,54,0.05,15.11147129757893,36.27866416476502,38.6221954993914
2025-09-18 06:16:00,60,0.04,5.5468037172520654,41.28984697069056,
2025-09-18 06:16:00,61,0.01,9.8357088923682,38.94655850253312,57.92212497939997
2025-09-18 06:16:00,77,0.08,12.749710707601045,40.61140084788259,24.941582802672524
2025-09-18 06:16:00,83,0.03,8.295822282610123,42.282930749953906,31.72676986516455
2025-09-18 06:16:00,89,0.0,6.491234536141279,35.66456470821851,26.237748631208156
2025-09-18 06:16:00,96,0.01,11.033736511442891,39.542541552647144,28.61340368356834
2025-09-18 06:16:00,99,0.0,9.458730235971183,38.063632431817744,25.30230232999829
2025-09-18 06:16:00,121,0.03,8.538268313396813,35.24704480228678,-716.0717622146778
2025-09-18 06:16:00,123,0.03,8.538742925095061,37.791813976847905,-196.19680907386703
2025-09-18 06:16:00,127,0.03,8.626814284876312,39.83486317235016,-142.76802060079788
2025-09-18 06:16:00,128,0.06,8.518371583664623,42.452509173008046,-127.49345235434691
2025-09-18 06:16:00,129,0.08,8.491646358603331,43.624671286344864,
2025-09-18 06:16:00,134,0.03,8.468194743385872,43.79882713431948,
2025-09-18 06:16:00,136,0.05,8.529610023995538,36.284739621160284,-153.40324785404138
2025-09-18 06:16:00,201,0.06,8.704560354734406,42.015172801387216,-39.2389962563668
2025-09-18 06:16:00,142,0.04,8.835650517311217,42.49231246365258,28.801411937663918
2025-09-18 06:16:00,145,0.0,8.743835033344176,40.0741378289659,24.28874958438997
2025-09-18 06:16:00,146,0.05,11.028489292536374,43.47032354405973,29.02382979311343
2025-09-18 06:16:00,149,0.02,9.836805004145768,42.69622095881102,26.627543328591806
2025-09-18 06:16:00,154,0.02,14.207683209335434,40.497908623208666,21.738855551988344
2025-09-18 06:16:00,156,0.03,12.18190459864109,44.31212095456022,27.059461291861197
2025-09-18 06:16:00,165,0.04,3.4323873182910973,40.74383108574942,
2025-09-18 06:16:00,168,0.01,11.484318125467157,36.75234753219434,
2025-09-18 06:16:00,173,0.07,12.488990393774134,38.180004403891076,
2025-09-18 06:16:00,179,,13.186483238312157,44.622593061734804,
2025-09-18 06:16:00,223,0.03,10.280966258746075,34.54953356844731,
2025-09-18 06:16:00,225,0.01,8.109105267496995,39.00487144248016,
2025-09-18 06:16:00,242,0.01,8.704560354734406,42.015172801387216,
2025-09-18 06:17:00,1,0.14,14.652117475007485,35.86850628634526,19.46098635965011
2025-09-18 06:17:00,2,,11.352951269521583,38.303780166861245,22.912545708402455
2025-09-18 06:17:00,4,0.0,7.2001949979835,35.48080590526043,24.009073735690702
2025-09-18 06:17:00,8,,7.660289660928159,36.78413361707315,25.346767721236397
2025-09-18 06:17:00,27,,5.588847479214849,38.35589303160452,26.84291932449147
